시도명,시군구명,대형폐기물명,대형폐기물구분명,대형폐기물규격,유무료여부,수수료,관리기관명,데이터기준일자,제공기관코드,제공기관명
강원특별자치도,강릉시,신발장,가구류,높이 1m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,신발장,가구류,플라스틱류(모든 규격),유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,어린이 2층침대,가구류,모든 규격(매트리스 및 계단 제외),유료,14000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,오디오장식장,가구류,폭1m이상,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,오디오장식장,가구류,폭1m미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"옥매트, 온수매트, 전기장판(돌, 흙, 의료기기 등 제외)",가구류,특대(2m×2m 이상),유료,8000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"옥매트, 온수매트, 전기장판(돌, 흙, 의료기기 등 제외)",가구류,2인용(폭 1.2m 이상),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"옥매트, 온수매트, 전기장판(돌, 흙, 의료기기 등 제외)",가구류,1인용(폭 1.2m 미만),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,옷장(장롱),가구류,폭 1.2m 이상 1쪽,유료,22000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,옷장(장롱),가구류,폭 1.2m 미만 1쪽,유료,16000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,옷장(장롱),가구류,반쪽,유료,8000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,의자,가구류,일반,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,의자,가구류,"벤치형(실내용, 모든 규격)",유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,의자,가구류,"화장대용, 유아용",유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,의자,가구류,유아용 하이체어,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,의자,가구류,기타 소형의자(캠핑의자 등),유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,의자,가구류,기타 대형의자(1.8m 이상),유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"장식장, 책장(유리 별도)",가구류,폭 0.8m×높이 1.8m 이상,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"장식장, 책장(유리 별도)",가구류,폭 0.8m×높이 1m 이상,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"장식장, 책장(유리 별도)",가구류,폭 0.8m×높이 1m 미만,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"장식장, 책장(유리 별도)",가구류,폭 1.2m×높이 1.8m 이상,유료,11000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"장식장, 책장(유리 별도)",가구류,폭 1.2m×높이 1m 이상,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"장식장, 책장(유리 별도)",가구류,폭 1.2m×높이 1m 미만,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전자렌지대,가구류,높이 1m 이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전자렌지대,가구류,높이 1m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,주니어옷장,가구류,높이 1.3m 이하,유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,진열장(유리문 포함),가구류,120cm 이상 1쪽,유료,16000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,진열장(유리문 포함),가구류,120cm 미만 1쪽,유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,찬장,가구류,대(1.2m×2.4m 이상),유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,찬장,가구류,중(1.2m×0.9m 이상),유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,찬장,가구류,소(1.2m×0.9m 미만),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"책꽂이, 칼라박스(1단)",가구류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,"책상 서랍장(분리형, 소형)",유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,길이 1.5m 이상,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,길이 0.8m 이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,길이 0.8m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,회의용(6인용 이상),유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,회의용(6인용 미만),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,독서실 책상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,상판(1m 미만),유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,책상(유리 별도),가구류,상판(1m 이상 2m 미만),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대(틀)(헤드 포함),가구류,2인용(폭 1.2m 이상),유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대(틀)(헤드 포함),가구류,1인용(폭 1.2m 미만),유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대(헤드),가구류,2인용(폭 1.2m 이상),유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대(헤드),가구류,1인용(폭 1.2m 미만),유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대세트(틀+매트리스),가구류,2인용(폭 1.2m 이상),유료,22000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대세트(틀+매트리스),가구류,1인용(폭 1.2m 미만),유료,16000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,침대협탁(유리 별도),가구류,모든 규격,유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,캐비넷,가구류,대형(높이 1.5m 이상),유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,캐비넷,가구류,중형(높이 1.5m 미만),유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,캐비넷,가구류,소형(높이 1m 미만),유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,탁자(좌식테이블)(유리 별도),가구류,90㎝×180㎝ 이상,유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,탁자(좌식테이블)(유리 별도),가구류,90㎝×180㎝ 미만,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전 받침대(거실장)(분리형 각각 수수),가구류,가로 1.5m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전 받침대(거실장)(분리형 각각 수수),가구류,가로 0.8m 미만,유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전 받침대(거실장)(분리형 각각 수수),가구류,가로 2m 이상,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전 받침대(거실장)(분리형 각각 수수),가구류,가로 1.5m 이상,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,토퍼,가구류,2인용(폭 1.2m 이상),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,토퍼,가구류,1인용(폭 1.2m 미만),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,화장대(거울 별도),가구류,높이 1m 이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,화장대(거울 별도),가구류,높이 1m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가스오븐렌지,가전제품류,높이 1m 이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가스오븐렌지,가전제품류,높이 1m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가습기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,감시카메라(CCTV),가전제품류,모든 규격,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,공기청정기,가전제품류,높이 1m 이상,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,공기청정기,가전제품류,높이 1m 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,내비게이션,가전제품류,모든 규격,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,냉장고(온장고 포함),가전제품류,1000ℓ 이상,유료,25000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,냉장고(온장고 포함),가전제품류,500ℓ 이상,유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,냉장고(온장고 포함),가전제품류,300ℓ 이상,유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,냉장고(온장고 포함),가전제품류,300ℓ 미만,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,냉장고(온장고 포함),가전제품류,초소형(화장품용 등),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,노트북,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,다리미,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,믹서기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,밥솥,가전제품류,모든 규격,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,복사기,가전제품류,대형(복합기),유료,15000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,복사기,가전제품류,중형,유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,비디오플레이어,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,빔프로젝터,가전제품류,모든 규격,유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,선풍기,가전제품류,업소용,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,선풍기,가전제품류,가정용,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,세탁기,가전제품류,10㎏이상(드럼),유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,세탁기,가전제품류,10㎏ 미만,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,세탁기,가전제품류,5㎏ 미만,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식기세척기,가전제품류,가정용,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식기세척기,가전제품류,업소용,유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,식품건조기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,에어컨,가전제품류,264㎡ 이상,유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,에어컨,가전제품류,66㎡ 이상,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,에어컨,가전제품류,66㎡ 미만,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,에어컨,가전제품류,냉각기(연료탱크),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,연수기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,오디오,가전제품류,모든 규격,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,오락기,가전제품류,대형(높이 1.5m 이상),유료,12000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,오락기,가전제품류,중형(높이 1.5m 미만),유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,오락기,가전제품류,소형(높이 1m 미만),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,온풍기,가전제품류,264㎡형 이상,유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,온풍기,가전제품류,66㎡형 이상,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,온풍기,가전제품류,66㎡형 미만,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,러닝머신(업소용),유료,20000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,러닝머신(가정용),유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,헬스자전거(대형),유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,헬스자전거(간이형),유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,벨트 마사지기,유료,10000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,기타 소형기구(스텝퍼 등),유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,"골프채, 낚시채, 등산·스키 스틱(2개당)",유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,볼링공(개당),유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,운동기구,가전제품류,"보드류(서핑, 스노보드, 스키)",유료,3000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,유무선공유기,가전제품류,모든 규격,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전기난로,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전기담요,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전기비데,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전기온수기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전기주전자,가전제품류,모든 규격,유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전기후라이팬,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전자렌지,가전제품류,모든 규격,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전축,가전제품류,본체,유료,7000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전축,가전제품류,스피커(1개당),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,전화기,가전제품류,모든 규격,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,정수기,가전제품류,모든 규격,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,제빵기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,제습기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,족욕기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,주서기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,청소기,가전제품류,모든 규격,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,커피메이커,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,컴퓨터,가전제품류,본체,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,컴퓨터,가전제품류,모니터,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,컴퓨터,가전제품류,키보드,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,컴퓨터,가전제품류,프린터기(대형),유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,컴퓨터,가전제품류,프린터기(소형),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,탈수기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전,가전제품류,50인치 이상,유료,11000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전,가전제품류,50인치 미만,유료,9000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전,가전제품류,42인치 미만,유료,6000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,텔레비전,가전제품류,25인치 미만,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,토스트기,가전제품류,모든 규격,유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,튀김기,가전제품류,모든 규격,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,헤어드라이어,가전제품류,모든 규격,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,휴대폰,가전제품류,모든 규격,유료,1000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가방,기타,대형(높이 60㎝ 이상),유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가방,기타,중형(높이 60㎝ 미만),유료,2000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가방,기타,골프가방,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가스렌지,기타,모든 규격,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,가정용텐트,기타,모든 규격,유료,5000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,"간이 옷장, 행거(상판 없는 것)",기타,폭 1.2m당,유료,4000,강원특별자치도 강릉시청,2025-11-19,4201000,강원특별자치도 강릉시
